Compound ID,SMILES,mw,logp,hbd,hba,tpsa,rotb,rings,heavy,qed,n_stereo,conformer_ok
cpd_375000,Cc1cccc(S(=O)(=O)N2CCN(C(=O)N3CCOCC3)CC2)c1,353.140927216,0.7535200000000002,0,4,70.16000000000001,2,3,24,0.7868383918859738,0,True
cpd_245000,CC1CC(C)CN(C(=O)Cn2cnc3c(=O)n(C)c(=O)n(C)c32)C1,333.180089596,-0.06179999999999897,0,4,82.13,2,3,24,0.7707587618694637,0,True
cpd_305000,CC1CC(C)CN(C(=O)Cn2c(=O)n(C)c(=O)c3c2ncn3C)C1,333.1800895960001,-0.06179999999999897,0,4,82.13,2,3,24,0.7707587618694638,0,True
cpd_425000,CC1CC(C)CN(C(=O)Cn2cnc3c(c2=O)n(C)c(=O)n3C)C1,333.180089596,-0.06179999999999897,0,4,82.13,2,3,24,0.7707587618694637,0,True
cpd_565000,CC1CC(C)CN(C(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)C1,333.180089596,-0.06179999999999897,0,4,82.13,2,3,24,0.7707587618694637,0,True
cpd_200000,Cc1nn(CC(=O)N2CCC(C)CC2)c(=O)c2c1n(C)c(=O)n2C,333.180089596,0.0006200000000011752,0,4,82.13,2,3,24,0.7745555720965356,0,True
cpd_530000,Cc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(=O)N1CCC(C)CC1,333.180089596,0.000620000000000287,0,4,82.13,2,3,24,0.7745555720965355,0,True
cpd_255000,O=C(N1CCOCC1)N1CCN(S(=O)(=O)N2CCOCC2)CC1,348.146740868,-1.3667999999999956,0,5,82.63,2,3,23,0.6151358332529064,0,True
cpd_55000,Cc1c(C(=O)N2CCN(C)CC2)c(=O)n(-c2ccccc2)n1C,314.174275944,0.8720199999999994,0,3,50.480000000000004,2,3,23,0.8264554191276844,0,True
cpd_45000,CN(C)C(=O)CN1C(=O)C2(OCCO2)c2cc(Br)ccc21,354.02151906,1.0835000000000001,0,4,59.08000000000001,2,3,21,0.7969216912964309,0,True
cpd_475000,Cc1c(C(F)(F)F)c(Br)nn1CC(=O)N1CCOCC1,355.014323416,1.8316199999999998,0,3,47.36,2,2,20,0.8125744199710033,0,True
cpd_485000,Cc1c(Br)c(C(F)(F)F)nn1CC(=O)N1CCOCC1,355.014323416,1.8316199999999998,0,3,47.36,2,2,20,0.8125744199710033,0,True
cpd_560000,Cc1nn(CC(=O)N2CCOCC2)c(C(F)(F)F)c1Br,355.014323416,1.8316200000000005,0,3,47.36,2,2,20,0.8125744199710035,0,True
cpd_145000,CC(=O)N1CCN(Cc2cc(C)c3c(=O)n(C)c(=O)n(C)c3n2)CC1,345.1800895960001,-0.3952799999999992,0,5,80.44000000000001,2,3,25,0.7401952902929498,0,True
cpd_620000,O=S(=O)(N1CCOCC1)N1CCN(c2ccccc2F)CC1,329.12094072,0.5247000000000006,0,4,53.09,3,3,22,0.8115112956136267,0,True
cpd_100000,CN(C)S(=O)(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1,351.07227627599997,-0.06159999999999943,0,4,78.0,4,2,22,0.761287416910805,0,True
cpd_495000,CN(C)S(=O)(=O)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,351.07227627599997,-0.06159999999999943,0,4,78.0,4,2,22,0.761287416910805,0,True
cpd_170000,O=C(Cn1c(Br)nc2ccccc2c1=O)N1CCOCC1,351.02185340799997,1.0177999999999998,0,4,64.43,2,3,21,0.7573958408655543,0,True
cpd_385000,O=C(Cn1cnc2ccc(Br)cc2c1=O)N1CCOCC1,351.02185340799997,1.0178,0,4,64.43,2,3,21,0.8096503849677006,0,True
cpd_510000,CC1C2C(CN(C)S(=O)(=O)N2C)N(C)C(=O)N1C,276.1256115,-0.768699999999997,0,3,64.17,0,2,18,0.5835512423521644,0,True
cpd_35000,CN1CCN(C(=O)c2ccc(Cl)c(Br)c2)CC1,315.997802848,2.490100000000001,0,2,23.55,1,2,17,0.794345808118949,0,True
cpd_60000,CC(=O)N1CCN(C(=O)C2CCN(Cc3cccc(F)c3)CC2)CC1,347.20090529199996,1.7283999999999997,0,3,43.86000000000001,3,3,25,0.8364024713458732,0,True
cpd_375000,CN1CCN(C(=O)C2CC(=O)N(c3ccc4c(c3)OCCO4)C2)CC1,345.168856216,0.5846999999999993,0,5,62.32000000000001,2,4,25,0.7848752083192075,0,True
cpd_305000,O=C(N1CCOCC1)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,344.146010508,1.6745999999999996,0,4,48.910000000000004,1,3,24,0.7777392931361694,0,True
cpd_370000,CN1CCN(C(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,353.140927216,0.09510000000000174,0,5,70.16000000000001,3,3,24,0.770587799447326,0,True
cpd_485000,CN1CCN(C(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)CC1,353.140927216,0.09510000000000085,0,5,70.16000000000001,3,3,24,0.7705877994473259,0,True
cpd_185000,Cn1nc(C(F)(F)F)c(C(F)(F)F)c1CC(=O)N1CCOCC1,345.091195976,1.8589999999999998,0,3,47.36,2,2,23,0.7690554814381628,0,True
cpd_385000,CN1CCN(C(=O)C2CCC(=O)N(CCN3CCOCC3)C2)CC1,338.23179081999996,-0.6687999999999954,0,5,56.33000000000001,4,3,24,0.6806088884245768,0,True
cpd_480000,CC(=O)N1CCc2ccc(S(=O)(=O)N3CCOCC3)cc2CC1,338.13002818399997,0.6545999999999998,0,4,66.92,2,3,23,0.7942617286149807,0,True
cpd_10000,Cn1c(=O)n(CC(=O)N2CCCCC2)c(=O)c2c1c1ccccc1n2C,354.169190564,1.2043999999999992,0,3,69.24000000000001,2,4,26,0.6944657684720363,0,True
cpd_455000,CC1CC(C)CN(C(=O)CN2C(=O)c3c2c(=O)n(C)c(=O)n3C)C1,334.164105184,-0.45129999999999826,0,4,84.62,2,3,24,0.7330966119229089,0,True
cpd_90000,CN1CCN(C(=O)C2CCCN(S(=O)(=O)c3ccccc3)C2)CC1,351.16166266000005,0.8613,0,4,60.93,3,3,24,0.8104372622497674,0,True
cpd_300000,CN1CCN(C(=O)C2CCN(S(=O)(=O)c3ccccc3)CC2)CC1,351.16166266000005,0.8613,0,4,60.93,3,3,24,0.8104372622497674,0,True
cpd_395000,CN1C(=O)N(C)C2N(C)C(=O)N(C)C2(C)CC(C)(C)N(C)C1=O,325.211389724,1.2860999999999996,0,3,67.41000000000001,0,2,23,0.6737776125657392,0,True
cpd_15000,Cn1c(C(F)(F)F)cc(=O)n(CC(=O)N2CCOCC2)c1=O,321.09364058799997,-0.5754000000000001,0,4,73.53999999999999,2,2,22,0.730804732530179,0,True
cpd_150000,Cn1cc(C(F)(F)F)c(=O)n(CC(=O)N2CCOCC2)c1=O,321.09364058799997,-0.5754000000000001,0,4,73.53999999999999,2,2,22,0.730804732530179,0,True
cpd_225000,Cn1c(=O)c(C(F)(F)F)cn(CC(=O)N2CCOCC2)c1=O,321.09364058799997,-0.5754000000000001,0,4,73.53999999999999,2,2,22,0.730804732530179,0,True
cpd_390000,CCN1CCN(C(=O)C2CCC(=O)N(CCN3CCOCC3)C2)CC1,352.24744088399996,-0.27869999999999573,0,5,56.33000000000001,5,3,25,0.6813031962306774,0,True
cpd_305000,Cn1c(=O)c2c(CCN3CCOCC3)nn(C(C)(C)C)c2n(C)c1=O,349.211389724,0.06340000000000123,0,5,74.28999999999999,3,3,25,0.7835853517721519,0,True
cpd_545000,Cc1ccc2c(c1)CCN2S(=O)(=O)c1cn(C)c(=O)n(C)c1=O,335.093977024,0.14381999999999984,0,4,81.38,2,3,23,0.7819101558772634,0,True
cpd_130000,Cc1nc2c(c(=O)n(C)c(=O)n2Br)n1C,271.990887628,-0.09988000000000019,0,3,61.82,0,2,15,0.6730725676076039,0,True
cpd_205000,Cn1c(=O)c2c(nc(Br)n2C)n(C)c1=O,271.990887628,-0.26680000000000037,0,3,61.82,0,2,15,0.6208469983162627,0,True
cpd_380000,O=C(c1cccs1)N1CCN(S(=O)(=O)N2CCOCC2)CC1,345.081698088,0.0829000000000002,0,5,70.16000000000001,3,3,22,0.778089583094591,0,True
cpd_320000,CN(C)C(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2-c1ccc(F)cc1,345.123717592,0.11319999999999975,0,4,82.13,3,3,25,0.674801139004023,0,True
cpd_495000,CC1CN(C(=O)N2CCOCC2)CCN1S(=O)(=O)c1ccccc1,353.140927216,0.8336000000000006,0,4,70.16,2,3,24,0.7897768062139287,0,True
cpd_600000,CC1CN(S(=O)(=O)c2ccccc2)CCN1C(=O)N1CCOCC1,353.140927216,0.8336000000000003,0,4,70.16000000000001,2,3,24,0.7897768062139285,0,True
cpd_270000,O=C(C1CCCN1C(=O)N1CCOCC1)N1CCOCC1,297.16885621600005,-0.23819999999999886,0,4,62.32000000000001,1,3,21,0.6701462384514985,0,True
cpd_25000,CC(=O)N1CCN(C(=O)C2CC(=O)N(c3ccc(C)cc3)C2)CC1,329.173941596,1.0386199999999997,0,3,60.93000000000001,2,3,24,0.8143909483383568,0,True
cpd_125000,CC1CCCCN(C(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)C1,333.180089596,0.0823000000000007,0,4,82.13,2,3,24,0.7793796326357784,0,True
cpd_320000,CC1CCCN(C(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)CC1,333.180089596,0.0823000000000007,0,4,82.13,2,3,24,0.7793796326357785,0,True
cpd_445000,CC1CCN(C(=O)CN2CCC(C(=O)N3CCOCC3)CC2)CC1,337.236541852,0.8157000000000008,0,4,53.09,3,3,24,0.7649531903856136,0,True
cpd_285000,CC(=O)N1CCN(C2CCCN(C(=O)C3=C(C)OCCO3)C2)CC1,337.200156344,0.4198000000000013,0,5,62.32000000000001,2,3,24,0.7307786334009768,0,True
cpd_145000,Cc1ccc(S(=O)(=O)N2CCN(C(=O)N3CCN(C)CC3)CC2)cc1,366.172561692,0.6687200000000009,0,4,64.17,2,3,25,0.7717386383530789,0,True
cpd_80000,CC1CN(S(=O)(=O)N(C)C)C(C)N1C(=O)N1CCOCC1,320.15182624799996,-0.40289999999999737,0,4,73.4,2,2,21,0.6936931253036802,0,True
cpd_130000,O=S(=O)(N1CCOCC1)N1CCN(c2cccc(Cl)c2)CC1,345.09139017999996,1.0390000000000006,0,4,53.09,3,3,22,0.8210817739851372,0,True
cpd_175000,O=S(=O)(N1CCOCC1)N1CCN(c2ccc(Cl)cc2)CC1,345.09139017999996,1.0390000000000004,0,4,53.09,3,3,22,0.8210817739851372,0,True
cpd_245000,CN1CCCC(N2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)C1,341.157326228,1.2262,0,4,43.86,3,3,23,0.8293775587266348,0,True
cpd_500000,CN1CCN(C(=O)C2CCC(=O)N(Cc3ccc(Cl)cc3)C2)CC1,349.155704688,1.8525999999999998,0,3,43.86000000000001,3,3,24,0.8361965163163647,0,True
cpd_550000,CC1CN(C)CCN1S(=O)(=O)c1cccc(Br)c1,332.019410884,1.7736999999999998,0,3,40.620000000000005,2,2,18,0.8283186061403868,0,True
cpd_60000,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3C)CC1,337.14601259600005,0.8766999999999998,0,4,60.93000000000001,2,3,23,0.8036327702850448,0,True
cpd_335000,CN1C(=O)N(c2ccccc2)C2C1N(C)S(=O)(=O)N2C,296.094311372,0.3326,0,3,64.17,1,3,20,0.7501396416102805,0,True
